number,title,url,pages,summary,characters
1,The Journey's End,https://frieren.fandom.com/wiki/Chapter_1,37,"The Hero Party makes a triumphant return to the Royal Capital after vanquishing the Demon King. The party includes Himmel the Hero, Eisen the Warrior, Heiter the Priest, and Frieren the Mage. As the party members celebrate, they reminisce about their long ten-year adventure. However, Frieren, being an Elf, felt it was short, as time passes differently for elves. Nevertheless, all of them were glad to have been able to adventure together. At the same time, the party watches the Era Meteors occur, and they all vow to meet again to watch the meteor shower again fifty years later.
The next day, the party members go their separate ways, with Frieren going on a journey to acquire more magic. In her pursuit of magic, she travels far and wide, which finally leads her back to the Royal Capital five decades later. She finds Himmel to have grown very old. Meanwhile, Frieren herself does not look a day older. Together, they meet Eisen, who hasn't changed much appearance-wise, as he is a dwarf, and Heiter, who has also aged like Himmel as a fellow human. Together, the hero's party once more goes to see the Era Meteors in a location a week's walk from the capital. They venture through many places, reminding Himmel of the memories of days past, finally reaching the place where they witness the Era Meteors once again. Shortly afterward, Himmel passes away, seemingly content. At his funeral, Frieren begins to cry, unaware of the reason why, as she simply traveled with him for a mere ten years. She questions why she never thought about getting to know him more given the short length of a human's lifespan. After the funeral, the party disbands once more, and Frieren goes on a voyage to acquire magic while also deciding to get to know humans better as well.","[{""name"": ""Himmel"", ""type"": ""Debut""}, {""name"": ""Frieren"", ""type"": ""Debut""}, {""name"": ""Eisen"", ""type"": ""Debut""}, {""name"": ""Heiter"", ""type"": ""Debut""}, {""name"": ""Demon King"", ""type"": ""Mentioned""}, {""name"": ""The King"", ""link"": ""List of Characters/Minor#Unnamed Characters""}, {""name"": ""Magic store owner"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Gossiping ladies"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}]"
2,The Priest's Lie,https://frieren.fandom.com/wiki/Chapter_2,34,"Twenty years after Himmel the Hero's passing, Frieren is lost in a forest in the Holy City of Strahl trying to find the home of Heiter. A young girl finds Frieren and takes her to her house where she meets Heiter, who is now very elderly. The young girl, whose name is Fern, turns out to be a war orphan from the Southern Lands adopted by Heiter. Frieren reveals that she came to repay Heiter before he died, but when Heiter requests Frieren to adopt Fern as her disciple, she refuses, saying she will only be a burden. Heiter then asks Frieren to instead decipher a grimoire that supposedly contains records of lost resurrection and immortality spells. Frieren states that it might take five or six years, and Heiter also asks Frieren to teach Fern some magic during that time. 
Four years pass, and Frieren deciphers most of the grimoire and trains Fern to a point that would take an average person ten years to reach. One day, Heiter collapses. Frieren tells Fern, who is training in the forest, to take a break and go stay by his side. Fern refuses, saying she has yet to strike down a high rock from a distance, which would prove that she is capable of surviving on her own. Fern remembers how when she was younger, she was about to commit suicide after losing her parents in the war. Heiter stopped her and told her it would be a waste for her to die, as all the beloved memories she made her with parents would disappear from the world as well. Fern expresses her determination to repay Heiter by learning how to survive on her own, and so Frieren lets her be. 
Some more time passes, and Fern finally manages to strike the rock. Frieren finishes deciphering the grimoire, finding that neither resurrection nor immortality were recorded within. Heiter reveals that he was aware of this, and he only asked Frieren to decipher the grimoire to buy enough time for Fern to reach a level where she could be Frieren's disciple. Frieren asks Heiter why he saved Fern, and he answers that Himmel would have done the same. In his final days, Heiter makes a few more memories with Fern before ultimately passing away. After his burial, Frieren pours alcohol over Heiter's grave, and together with Fern, she continues her journey to acquire more magic.","[{""name"": ""Frieren""}, {""name"": ""Fern"", ""type"": ""Debut""}, {""name"": ""Heiter""}, {""name"": ""Goddess of Creation"", ""type"": ""Mentioned""}, {""name"": ""Ewig the Sage"", ""type"": ""Mentioned""}, {""name"": ""Fern's parents"", ""type"": ""Pictured"", ""link"": ""List of Characters/Minor#Unnamed Characters""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}]"
3,Blue-Moon Weed,https://frieren.fandom.com/wiki/Chapter_3,34,"Twenty-six years after the Hero Himmel's passing, Frieren and Fern are in the Turk Region. They have been doing simple jobs for strange magic as rewards such as helping out a pumpkin farmer with the harvest. They come upon a village whose herbalist lady asks them to clean a statue of the Hero Himmel, who once fought for the village when a monster attacked it. After cleaning it up, the herbalist thanks them, and thinks of planting some flowers around the statue to add more color. Frieren almost uses magic that can produce flower beds, but she stops and decides that a blue-moon weed flower would be best, although she has never seen it before, as it is the flower of Himmel's hometown. She asks the herbalist, who takes the duo back to her shop, and explains that long ago, all the flower fields within the forest were destroyed, and there has not been a sighting of blue-moon weed for several decades on the continent. Meanwhile, Fern tries to hide a couple of seed rats, which are harmful animals that eat seeds, in her cloak but gets caught by Frieren, so she returns it to the forest. The duo decides to look for some blue-moon weed, because if they are able to analyze a live specimen, they will acquire magic that will allow them to make the flowers bloom. Six months pass, and they still have not found any blue-moon weed. Although this is a trivial amount of time for Frieren, Fern starts becoming impatient. Alone, she goes to the herbalist and explains that Frieren should not be spending her time on something nonexistent. The herbalist gives her a pouch of seeds of a related species as a substitute and tells Fern to convey her feelings to Frieren. Fern talks to Frieren, who understands and says they will stop after a little more searching. At the same time, a seed rat steals the pouch of seeds and runs away. The duo pursues it and eventually reaches an abandoned watchtower where many seed rats can be seen. Frieren picks up a flower petal that was on the ground near it. She explains that seed rats hide their feed by burying it in a safe place, but they often forget where they hide them. Frieren flies up to the top of the watchtower, and finds a multitude of blue-moon weed flowers. She analyzes a specimen and plants the flowers around Himmel's statue. The herbalist thanks them, and Frieren and Fern continue their voyage.","[{""name"": ""Fern""}, {""name"": ""Frieren""}, {""name"": ""Turk Region farmer"", ""link"": ""List of Characters/Minor#Unnamed Characters""}, {""name"": ""Herbalist"", ""link"": ""List of Characters/Minor#Unnamed Characters""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}]"
4,The Mage's Secret,https://frieren.fandom.com/wiki/Chapter_4,18,"Twenty-seven years after the Hero Himmel's passing, Frieren and Fern are in Warm. Frieren decides they should split up to replenish supplies for their journey. However, Fern feels Frieren is hiding something from her, so she starts tailing her. Fern sees Frieren spend a lot of time in front of an accessory shop before buying something. After that, she goes to a bar and asks where she can find some desserts. She talks to some rough-looking adventurers and then heads back to the inn. Fern quickly finishes her shopping before also returning. Frieren decides that they should go eat some tasty food as it has been a while. Frieren tells Fern to choose whatever she wants as she has some secret savings. Fern asks what Frieren will have, but answers before her as she could already tell. This causes Frieren to recall a memory with the hero party where Himmel also guessed correctly what Frieren wanted to have. She apologizes to Fern, as she does not know a thing about her, and she hands her a gift for Fern's birthday, which is a hair ornament. Fern is delighted and she thanks Frieren. She tells Frieren that her attempts to get to know more about Fern give her overwhelming bliss. The next day, Frieren and Fern continue their voyage, with Fern now wearing her new hair ornament. She asks Frieren if there is some goal to their journey. She replies that it is just out of interest to gather magic, and also to retrace the steps she took with the Hero Party as much as possible before they fade away.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Rough adventurers"", ""link"": ""List of Characters/Minor#Unnamed Characters""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}]"
5,Killing Magic,https://frieren.fandom.com/wiki/Chapter_5,20,"Twenty-seven years after the Hero Himmel's passing, Frieren and Fern are in the Größe Forest. Frieren is training Fern on defensive magic. Defensive magic is powerful, but it burns a lot of mana. It is directly linked to their survival. After training Frieren and Fern arrive in a village. An elder villager takes them to the place where Qual, the Elder Sage of Corruption, was sealed. Qual is a demon that committed immeasurable atrocities on the land 80 years ago and the Hero Party sealed him away. Frieren came to eliminate him as the seal is going to be undone soon. They reach the place and Frieren decides to remove the seal the next day and dispose of Qual. Back at the village inn, Frieren explains to Fern that she sealed Qual because he was too powerful to beat. He developed Zoltraak, the first piercing magic in history, which could pierce all of mankind's defensive magics. The next day, Frieren undoes Qual's seal, and he fires Zoltraak at the duo. Fern easily blocks it with her defensive magic, making her comment that Zoltraak was just ordinary offensive magic. Frieren explains that Qual's magic was overly powerful, but in just a few years after his sealing, Zoltraak was analyzed and mankind was able to develop powerful defensive magics to defend against it. Qual is able to deduce that defensive magic is taxing on one's mana and fires a barrage of Zoltraak spells at them. However, Fern is still able to defend the duo as she has already witnessed this in training. Frieren fires Zoltraak at Qual, destroying him with his own magic. Frieren and Fern return to the village and the villagers show them their gratitude, and they continue their voyage.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Straw hat villager"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Qual"", ""type"": ""Debut""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}]"
6,New Year's Festival,https://frieren.fandom.com/wiki/Chapter_6,18,"[[File:Frieren and Fern observe the debris CH6.png|thumb|left|200px|Frieren and Fern inspecting the debris on the coast.]]
Twenty-eight years after the Hero Himmel's passing, Frieren and Fern are in the Granz Channel. A village elder requests them to clean up the coast from washed-up debris, rewarding them with a book by the Great Mage Flamme, albeit only a counterfeit. Frieren still accepts the request, and the duo is able to clean up the coast in time for the New Year's Festival. Together, they witness the breathtaking sunrise reflecting off the pristine sea, just as the other members of the Hero Party once did.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Granz Channel village chief"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Bakery owner"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}]"
7,The Land Where Souls Rest,https://frieren.fandom.com/wiki/Chapter_7,21,"During a flashback of the Hero Party's visit at Eisen's home, Heiter sees a couple of graves, which are Eisen's family, and starts praying for them. Eisen believes that people turn to dust after they die, and Heiter states that they go to Heaven. He believes Heaven exists because it would be better that way. The rest of the Hero Party also starts praying for Eisen's family, including Eisen.
Twenty-eight years after the Hero Himmel's passing, Frieren and Fern are in the Bredt Region visiting Eisen's home. Frieren offers to help Eisen with anything, and he requests she help him search for the Great Mage Flamme's notes in the Voll Basin, which supposedly contain records of her having conversed with the dead. He wants to find them so Frieren can tell Himmel about how she wanted to get to know him better. They finally find a great tree engulfing some ruins, which are being protected by a powerful barrier. Frieren recalls a memory from a thousand years ago when her master Flamme planted the sapling, that would become a thousand year old tree. Flamme tells Frieren that one day she will make a grave mistake and want to get to know people more and to come back to the Voll Basin so that she can guide her. Frieren enters the ruins and finds the real notes of Flamme. They said that Flamme reached Aureole, or Heaven, and spoke with her former comrades there. It is revealed that Aureole is in Ende, where the Demon King's Castle is right now. Frieren and Fern decide to head to Aureole, the land where souls rest.","[{""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Eisen""}, {""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Flamme"", ""type"": ""Flashback Debut""}]"
8,One One-Hundredth,https://frieren.fandom.com/wiki/Chapter_8,18,"After finding Flamme's notes, Eisen, Frieren, and Fern take a carriage back to Eisen's home. While Frieren sleeps, Eisen and Fern converse about how Frieren is a good teacher. Eisen sees them off at the border of the Bredt Region and tells Frieren how her ten-year journey with the Hero Party has changed her.","[{""name"": ""Eisen""}, {""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Flashback""}]"
9,Phantoms of the Dead,https://frieren.fandom.com/wiki/Chapter_9,19,"Twenty-eight years after the Hero Himmel's passing, Frieren and Fern are in the Wille Region. They reach a village whose people are disappearing after going over the mountain pass, supposedly taken by ghosts. The next day, the duo investigates and finds out the Einsam, Phantom Demons,{{Note|While the Einsam are referred to as ""Phantom Demons,"" they are considered monsters and do not fall under the category of the human-like demons evolved from monsters. The kanji of ""demon"" in ""Phantom Demon"" is ""鬼"" (''oni''), while the kanji for the evolved-from-monsters demons is ""魔族"" (''mazoku'').}} are causing the disappearances. Frieren and Fern find and defeat him, and continue their voyage towards Aureole.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Marketeer lady"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Phantom""}]"
10,Solar Dragon,https://frieren.fandom.com/wiki/Chapter_10,22,"Twenty-eight years after the Hero Himmel's passing, Frieren and Fern are in the Riegel Canyon. They try to defeat a Solar Dragon to get the grimoire in its nest but fail. So they think it is best to get a vanguard, Stark, who is living in a village along the canyons and is also Eisen's disciple. They meet an old granny who takes them to Stark. Along the way, she tells them Stark came to the village three years ago and saved them from the Solar Dragon, which was attacking the village. They meet Stark and find out that he is a coward who only managed to save the village three years back because the dragon left. Frieren gives him one night to decide whether to help them or not. At night, Fern hears a loud sound and goes to check on Stark, who she finds to be training.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Granny and kids"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}, {""name"": ""Stark"", ""type"": ""Debut""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Husband and wife"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Beyond Journey's End Arc""}]"
